State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,8.753704274702173,3.6,11.7
Bayern,8.152005119453925,-4.2,11.2
Berlin,9.610911136107985,9.2,9.9
Brandenburg,9.220806916426513,8.3,9.8
Bremen,9.502341137123745,9.3,9.6
Hamburg,9.48515111695138,8.8,10.1
Hessen,8.948828254979322,5.6,11.3
Mecklenburg-Vorpommern,8.658003321968705,7.8,9.6
Niedersachsen,9.325006325377414,4.4,10.3
Nordrhein-Westfalen,9.779708956753433,5.6,11.7
Rheinland-Pfalz,9.438309433962264,6.8,11.2
Saarland,9.81723076923077,7.6,11.2
Sachsen-Anhalt,9.293430444282594,4.0,9.9
Sachsen,8.548746716287214,3.9,10.0
Schleswig-Holstein,8.856331072627905,8.3,9.5
Thüringen,8.227546012269938,4.7,10.0
