State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,9.382096706377014,5.0,11.7
Bayern,8.84195534698521,-3.3,11.1
Berlin,10.284701912260967,9.7,10.7
Brandenburg,9.91199864383794,9.1,10.5
Bremen,10.090635451505017,9.9,10.1
Hamburg,9.897109067017084,9.5,10.2
Hessen,9.577853306079763,6.3,11.9
Mecklenburg-Vorpommern,9.471120727336306,8.6,10.0
Niedersachsen,9.965956818756853,5.2,10.8
Nordrhein-Westfalen,10.297683951629432,6.3,12.0
Rheinland-Pfalz,10.00719496855346,7.4,11.9
Saarland,10.219076923076923,8.2,11.2
Sachsen-Anhalt,10.042286962855062,4.5,10.7
Sachsen,9.403732486865149,4.7,10.8
Schleswig-Holstein,9.570185026667547,8.9,10.0
Thüringen,9.099687116564418,5.6,11.0
