State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,9.859100210231253,4.8,12.8
Bayern,9.36606513083049,-3.1,11.2
Berlin,10.243307086614172,9.9,10.6
Brandenburg,9.922525851839294,8.9,10.5
Bremen,9.969565217391304,9.8,10.0
Hamburg,9.993298291721418,9.4,10.5
Hessen,9.754808195084852,6.3,12.1
Mecklenburg-Vorpommern,9.237625666579248,8.2,9.8
Niedersachsen,9.84637766720081,5.0,10.7
Nordrhein-Westfalen,10.277231868357099,6.2,12.2
Rheinland-Pfalz,10.159018867924528,7.5,12.1
Saarland,10.538961538461539,8.4,11.9
Sachsen-Anhalt,9.976528283563974,4.4,10.7
Sachsen,9.460119308231175,4.6,10.8
Schleswig-Holstein,9.317870547178508,8.6,10.0
Thüringen,9.111441717791411,5.6,10.8
