State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,10.224235459004907,5.8,12.7
Bayern,9.4961106370876,-2.1,12.0
Berlin,11.43498312710911,11.1,11.7
Brandenburg,10.94306831666384,10.0,11.6
Bremen,11.054849498327759,10.8,11.1
Hamburg,10.841524310118265,10.4,11.3
Hessen,10.43225269762799,7.3,12.7
Mecklenburg-Vorpommern,10.426772445143808,9.7,11.0
Niedersachsen,10.865937842624609,6.2,11.7
Nordrhein-Westfalen,11.116554914648786,7.3,12.9
Rheinland-Pfalz,10.960593710691825,8.4,12.8
Saarland,11.264923076923077,9.3,12.2
Sachsen-Anhalt,10.983428016508862,5.4,11.7
Sachsen,10.28421081436077,5.7,11.6
Schleswig-Holstein,10.460104036346875,9.8,11.0
Thüringen,9.855460122699386,6.4,11.5
