State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,9.06528100911002,4.3,11.5
Bayern,8.549017349260525,-2.7,10.8
Berlin,9.795275590551181,9.1,10.2
Brandenburg,9.352578403119173,8.4,10.0
Bremen,9.600334448160533,9.4,9.7
Hamburg,9.335611038107754,8.9,9.8
Hessen,9.079916337880878,5.9,11.4
Mecklenburg-Vorpommern,8.845943701372498,7.9,9.4
Niedersachsen,9.453734081133508,4.6,10.2
Nordrhein-Westfalen,9.653154920504788,5.8,11.3
Rheinland-Pfalz,9.46040754716981,6.8,11.5
Saarland,9.723115384615385,7.6,10.8
Sachsen-Anhalt,9.44341344986647,3.9,10.1
Sachsen,8.87494527145359,4.4,10.3
Schleswig-Holstein,8.799683940212024,8.2,9.4
Thüringen,8.591932515337424,5.4,10.4
