State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,10.116560616678347,5.6,12.5
Bayern,9.609705631399317,-2.1,11.8
Berlin,11.141844769403825,10.4,11.5
Brandenburg,10.656077301237499,9.8,11.3
Bremen,10.994314381270902,10.9,11.1
Hamburg,10.853088042049935,10.4,11.3
Hessen,10.314103722013595,7.2,12.5
Mecklenburg-Vorpommern,10.227694728560188,9.4,10.8
Niedersachsen,10.784329931685923,6.1,11.5
Nordrhein-Westfalen,10.934459637513543,7.0,12.6
Rheinland-Pfalz,10.658706918238993,8.0,12.7
Saarland,10.929076923076922,8.8,11.9
Sachsen-Anhalt,10.67941247875698,5.5,11.3
Sachsen,10.144165936952714,5.7,11.5
Schleswig-Holstein,10.467406334364917,9.7,11.0
Thüringen,9.788527607361964,6.7,11.4
