State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,9.203955150665733,4.8,12.0
Bayern,8.529075654152445,-3.1,11.0
Berlin,10.453543307086615,9.6,11.5
Brandenburg,9.968109849126972,9.2,10.6
Bremen,10.217391304347826,10.1,10.4
Hamburg,10.142049934296978,9.6,10.4
Hessen,9.467447830013784,6.3,11.4
Mecklenburg-Vorpommern,9.657828481510622,8.8,10.4
Niedersachsen,10.124493969806865,5.2,10.9
Nordrhein-Westfalen,10.292665358826456,6.3,11.5
Rheinland-Pfalz,9.885383647798742,7.0,11.8
Saarland,10.18,8.2,11.3
Sachsen-Anhalt,9.953882010196649,4.9,10.7
Sachsen,9.253130472854641,4.9,10.5
Schleswig-Holstein,9.842338842431024,9.1,10.4
Thüringen,8.864460122699388,5.6,10.4
