State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,9.06082690960056,4.2,11.9
Bayern,8.748006257110355,-3.3,10.8
Berlin,10.617660292463441,9.9,11.5
Brandenburg,10.118993049669436,9.2,10.8
Bremen,10.10602006688963,10.0,10.2
Hamburg,10.117739816031536,9.7,10.4
Hessen,9.363763844654656,6.1,11.6
Mecklenburg-Vorpommern,9.701809598741148,8.9,10.2
Niedersachsen,9.994661381462427,5.0,10.7
Nordrhein-Westfalen,9.874901179984189,6.0,11.1
Rheinland-Pfalz,9.569127044025157,6.8,11.5
Saarland,9.734076923076923,7.7,10.8
Sachsen-Anhalt,10.012896334061665,4.3,10.7
Sachsen,9.407300788091067,4.6,10.8
Schleswig-Holstein,9.733179693158622,9.1,10.4
Thüringen,8.950306748466257,5.7,10.6
