State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,8.752608269096005,3.8,11.5
Bayern,8.204438282138794,-4.0,10.5
Berlin,9.77986501687289,9.2,10.5
Brandenburg,9.352310561112052,8.5,9.9
Bremen,9.684615384615386,9.6,9.9
Hamburg,9.56084099868594,9.1,9.8
Hessen,8.945971383752438,5.4,11.0
Mecklenburg-Vorpommern,8.985169158143195,8.1,9.6
Niedersachsen,9.546563211604958,4.5,10.3
Nordrhein-Westfalen,9.584944221591075,5.5,11.2
Rheinland-Pfalz,9.297911949685535,6.5,11.1
Saarland,9.510461538461538,7.4,10.5
Sachsen-Anhalt,9.335625151735858,3.8,10.0
Sachsen,8.67209938704028,3.6,10.0
Schleswig-Holstein,9.157957463620201,8.5,9.6
Thüringen,8.330447852760736,4.7,10.0
