State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,8.542298528381219,3.9,10.8
Bayern,8.112189988623435,-3.1,10.3
Berlin,9.615073115860516,9.0,9.9
Brandenburg,9.185302593659944,8.4,9.9
Bremen,9.253846153846153,9.1,9.3
Hamburg,9.178580814717476,8.8,9.6
Hessen,8.677187811950374,5.3,10.9
Mecklenburg-Vorpommern,8.888661596293382,8.1,9.4
Niedersachsen,9.05821455680189,4.1,9.7
Nordrhein-Westfalen,9.19493455918953,5.2,11.0
Rheinland-Pfalz,8.982007547169811,6.3,10.9
Saarland,9.22223076923077,7.1,10.3
Sachsen-Anhalt,9.081558630735616,3.4,9.8
Sachsen,8.403880253940455,3.9,9.8
Schleswig-Holstein,8.783769012971621,8.2,9.3
Thüringen,8.083337423312884,4.8,9.9
