system:index,intervalType,mean_NDVI,time,year,.geo
54,Jan,-0.21625556532387274,599616000000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,Feb,-0.14970641377261643,602294400000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,Mar,-0.1885736891143427,604713600000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,May,-0.3098928943673479,609984000000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,Jun,-0.3104005107965867,612662400000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,Jul,-0.2680230502704384,615254400000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,Aug,-0.19403997930518152,617932800000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,Sep,-0.20553231559036603,620611200000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,Oct,-0.21593944734490336,623203200000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,Nov,-0.21682136876282662,625881600000,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,Jan,-0.21064979408320564,631152000000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,Feb,-0.1553547571969647,633830400000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,Mar,-0.14981149231013505,636249600000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,Apr,-0.1895874418897643,638928000000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,May,-0.3023996189105127,641520000000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,Jun,-0.29522058140489915,644198400000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,Jul,-0.27972282298437884,646790400000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,Aug,-0.19594050460607107,649468800000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,Sep,-0.2767206590647541,652147200000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,Oct,-0.21691570334081978,654739200000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,Nov,-0.38437492986829175,657417600000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,Dec,-0.3083223947865926,660009600000,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,Jan,-0.1972544387223235,662688000000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,Feb,-0.2983131495171764,665366400000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,Mar,-0.08107179342289728,667785600000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,Apr,-0.16045486846627752,670464000000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,May,-0.2618923734295125,673056000000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,Jun,-0.32764465959787004,675734400000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,Jul,-0.31810246390705943,678326400000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,Aug,-0.23599169581799992,681004800000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,Sep,-0.17899614500927433,683683200000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,Oct,-0.18544573912668288,686275200000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,Dec,-0.2904089182782325,691545600000,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,Jan,-0.3949225584895359,694224000000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,Feb,-0.36794817536201796,696902400000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,Mar,-0.12252329372121044,699408000000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,Apr,-0.15448385872084563,702086400000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,May,-0.3039062186861743,704678400000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,Jun,-0.3255894028797374,707356800000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,Jul,-0.2452412805313514,709948800000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,Aug,-0.19507390927005613,712627200000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,Sep,-0.2317723888831996,715305600000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,Oct,-0.2143783283468219,717897600000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,Nov,-0.27628822546685294,720576000000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,Dec,-0.2570362336926786,723168000000,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,Jan,-0.4779924185725503,725846400000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,Feb,-0.3197670932768987,728524800000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,Mar,-0.13514524082416818,730944000000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,Apr,-0.22587000329184279,733622400000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,May,-0.2786375617520067,736214400000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,Jun,-0.3228093435294536,738892800000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,Jul,-0.298927202438691,741484800000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,Aug,-0.25565875081138373,744163200000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,Sep,-0.27293435873403615,746841600000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,Oct,-0.23062058185615325,749433600000,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,Jan,-0.3468201171793359,757382400000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,Feb,-0.4912703134990185,760060800000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,Mar,-0.10220958087392437,762480000000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,Apr,-0.15955721151957863,765158400000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,May,-0.260204777504469,767750400000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,Jun,-0.33422735939252224,770428800000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,Jul,-0.28129664025821033,773020800000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,Aug,-0.19947370374409962,775699200000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,Sep,-0.24308179226056054,778377600000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,Oct,-0.21344427638154678,780969600000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,Nov,-0.21898326573634816,783648000000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,Dec,-0.3237899549108353,786240000000,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,Jan,-0.4032691815549025,788918400000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,Feb,-0.25968970909793004,791596800000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,Mar,-0.17418323204935685,794016000000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,Apr,-0.21669594205524625,796694400000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,May,-0.32819918952928734,799286400000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,Jun,-0.34912174622175585,801964800000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,Jul,-0.29274825129262394,804556800000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,Aug,-0.2042210836846638,807235200000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,Sep,-0.20928090057661292,809913600000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,Oct,-0.23177904870466737,812505600000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,Nov,-0.38161222654865373,815184000000,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,Jan,-0.3911327247765843,820454400000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,Feb,-0.4913291157035013,823132800000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,Mar,-0.08308265940921969,825638400000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,Apr,-0.05931396341748445,828316800000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,May,-0.294936155823831,830908800000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,Jun,-0.32398727802359906,833587200000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,Jul,-0.32009864347311623,836179200000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,Aug,-0.24215233810596618,838857600000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,Sep,-0.194905414602037,841536000000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,Oct,-0.18198182778977934,844128000000,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
