system:index,intervalType,mean_NDVI,time,year,.geo
0,Mar,0.1251788316056995,1362096000000,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Apr,0.3005360307094428,1364774400000,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,May,0.58157891163155,1367366400000,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Jun,0.6107216235572519,1370044800000,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Jul,0.612958006379959,1372636800000,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Aug,0.5434597715068618,1375315200000,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Sep,0.5744287136273504,1377993600000,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Oct,0.5277332465870553,1380585600000,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,Nov,0.4944095204234873,1383264000000,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Dec,0.37750280598441643,1385856000000,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,Jan,0.4033608768570346,1388534400000,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,Feb,0.4210563568660606,1391212800000,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Mar,0.48354033515226624,1393632000000,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Apr,0.5345289235636038,1396310400000,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,May,0.5976114631191594,1398902400000,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,Jun,0.6373110004002372,1401580800000,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,Jul,0.5724116888109861,1404172800000,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,Aug,0.519933025945772,1406851200000,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,Sep,0.4917408336575756,1409529600000,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,Oct,0.5322307617606301,1412121600000,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,Nov,0.47223677427257876,1414800000000,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,Dec,0.301819374067447,1417392000000,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,Jan,0.40509226325698333,1420070400000,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
