State,mean_ndvi,Temperature,Year
DEBB,0.2016700745693513,7.897443634514324,1985
DEBE,0.1558188107023793,8.403599550056244,1985
DEBW,0.1964834492800554,7.396201822004205,1985
DEBY,0.2248332271830571,6.728677474402729,1985
DEHB,0.2634650412069583,7.865886287625416,1985
DEHE,0.1826084135110107,7.290873223368351,1985
DEHH,0.2132529393551741,7.97293035479632,1985
DEMV,0.1974894433879094,7.241520237783023,1985
DENI,0.2512625981335561,7.803160580247955,1985
DENW,0.1961347757408361,8.03344654935145,1985
DERP,0.1890448722781386,7.710379874213836,1985
DESH,0.2263354457057416,7.359926252716139,1985
DESL,0.1892982898226736,8.140615384615383,1985
DESN,0.2070388811457916,7.326707530647987,1985
DEST,0.1998380296203118,7.8834814275309535,1985
DETH,0.1965397107253907,6.757067484662577,1985
DEBB,0.1877664025779845,8.253283607391083,1986
DEBE,0.1262784951413325,8.729583802024747,1986
DEBW,0.2036824327825499,7.864156972669937,1986
DEBY,0.2157586775846127,7.349516496018202,1986
DEHB,0.1667989304761918,8.37123745819398,1986
DEHE,0.2317479474762071,7.940652184246804,1986
DEHH,0.1456536405840314,8.436005256241788,1986
DEMV,0.1883016307105667,7.749973773931288,1986
DENI,0.2014345748374622,8.243046301762671,1986
DENW,0.1974099544284872,8.612066289930606,1986
DERP,0.2174231358744223,8.291361006289307,1986
DESH,0.2438414074355815,7.780489892671364,1986
DESL,0.1872913655283235,8.625153846153845,1986
DESN,0.2038675226096704,7.770742119089317,1986
DEST,0.1651229032560492,8.20897305171158,1986
DETH,0.1667292224740882,7.289539877300614,1986
DEBB,0.1787965293350402,7.543756568909985,1987
DEBE,0.1346424858988937,7.930708661417323,1987
DEBW,0.1760859072530572,7.654200420462508,1987
DEBY,0.1819455622918545,6.972020762229807,1987
DEHB,0.1910343616134637,7.873244147157189,1987
DEHE,0.1575804063759598,7.429966249940581,1987
DEHH,0.1987144684227239,7.804336399474376,1987
DEMV,0.1869560350235763,7.084465425299415,1987
DENI,0.2181210305328761,7.727637682381716,1987
DENW,0.1562037170375439,8.22802974848476,1987
DERP,0.1571915244969618,7.914847798742137,1987
DESH,0.2178568922185598,7.314486073615591,1987
DESL,0.2042365685938934,8.322423076923078,1987
DESN,0.1725786463427156,6.9888627408056045,1987
DEST,0.1860117243440789,7.54177713037145,1987
DETH,0.1541511316076791,6.637803680981595,1987
DEBB,0.1757553881264148,9.500637396168845,1988
DEBE,0.1323327911746438,9.910911136107986,1988
DEBW,0.2058062424723669,8.869978976874561,1988
DEBY,0.1838958561049784,8.339717007963594,1988
DEHB,0.1630090638860872,9.66588628762542,1988
DEHE,0.1583062340450682,9.054503969197128,1988
DEHH,0.2567313896671152,9.64862023653088,1988
DEMV,0.151753932954645,8.994680479062854,1988
DENI,0.2305299322944938,9.505958505524164,1988
DENW,0.2084653495177519,9.75066612010658,1988
DERP,0.2708491098244193,9.3570213836478,1988
DESH,0.1808130131418066,9.083044709290842,1988
DESL,0.2402838572466235,9.610846153846154,1988
DESN,0.1605030464858365,8.767009632224168,1988
DEST,0.2441921763818367,9.566307356154406,1988
DETH,0.1884000805210279,8.46520245398773,1988
DEBB,0.1981631039711992,10.153761654517716,1989
DEBE,0.1370712929926963,10.576940382452197,1989
DEBW,0.2278400587142102,9.025631394533988,1989
DEBY,0.2144777860134608,8.458225255972696,1989
DEHB,0.2182571731132321,10.063879598662208,1989
DEHE,0.2377795537445589,9.390126919237533,1989
DEHH,0.1748476768326324,10.184888304862024,1989
DEMV,0.2044611180577419,9.70006556517178,1989
DENI,0.2489443244742609,9.988302268702032,1989
DENW,0.2428329812803173,10.265569642491144,1989
DERP,0.2374373853853591,9.670188679245284,1989
DESH,0.248031176711555,9.60160005267663,1989
DESL,0.2270917371965357,9.926076923076923,1989
DESN,0.2073400038110568,9.50252298598949,1989
DEST,0.2048772341507472,10.13099781500364,1989
DETH,0.2191819710571571,8.940993865030675,1989
DEBB,0.2278164521093028,10.12126801152738,1990
DEBE,0.1839618535705235,10.53138357705287,1990
DEBW,0.2406115009608955,9.10809810791871,1990
DEBY,0.2274266358316775,8.46521188850967,1990
DEHB,0.2082600891335088,10.207023411371235,1990
DEHE,0.2585647931850651,9.397124114655131,1990
DEHH,0.2297947932715247,10.326544021024969,1990
DEMV,0.2421184882191202,9.7584229390681,1990
DENI,0.2603919034144815,10.080878384076916,1990
DENW,0.241461431488327,10.202711328433814,1990
DERP,0.2352826305333988,9.705222641509431,1990
DESH,0.2954056572592418,9.733087509053796,1990
DESL,0.2128449779126641,9.987307692307692,1990
DESN,0.2220780150805844,9.404881786339756,1990
DEST,0.2309763794004844,10.076028162175284,1990
DETH,0.2324031445040294,8.8410490797546,1990
DEBB,0.1929199677733761,8.980457704695711,1991
DEBE,0.1392445681918452,9.350281214848144,1991
DEBW,0.1728201043520783,8.194623686054658,1991
DEBY,0.2058568081035656,7.460793515358362,1991
DEHB,0.1827715926754096,8.948494983277593,1991
DEHE,0.2033347312301975,8.286005609164805,1991
DEHH,0.1917315221084894,9.033639947437582,1991
DEMV,0.2422508576784557,8.438578547075792,1991
DENI,0.2386651171977915,8.802040988445643,1991
DENW,0.2211632018390488,9.023183907709424,1991
DERP,0.2131407934795504,8.703134591194967,1991
DESH,0.2299765914470762,8.45853032198591,1991
DESL,0.2518359400644108,9.105461538461538,1991
DESN,0.1908105777666583,8.186202933450087,1991
DEST,0.1902955009547562,8.821048798252002,1991
DETH,0.1842650506208489,7.67159509202454,1991
DEBB,0.1742028259312043,9.940166129852516,1992
