State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,10.577908899789769,6.2,13.1
DEBY,9.917795790671216,-2.1,12.3
DEBE,11.240832395950507,10.9,11.5
DEBB,10.751357857263944,9.8,11.4
DEHB,10.927090301003346,10.7,11.0
DEHH,10.693561103810774,10.2,11.2
DEHE,10.662561201692256,7.5,12.9
DEMV,10.214503015997902,9.3,10.8
DENI,10.783218773720163,6.2,11.6
DENW,11.199270927883347,7.4,12.9
DERP,11.178883018867923,8.5,13.1
DESL,11.523230769230768,9.6,12.5
DEST,10.85076474872542,5.5,11.6
DESN,10.18929509632224,5.5,11.5
DESH,10.24853493119115,9.6,10.9
DETH,9.977220858895706,6.7,11.4
