State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,9.456591450595656,4.4,12.6
DEBY,8.772293799772468,-2.9,11.6
DEBE,10.035208098987626,9.2,11.0
DEBB,9.506946940159349,8.6,10.2
DEHB,9.61103678929766,9.5,9.8
DEHH,9.666622864651773,9.2,10.0
DEHE,9.528083852260304,6.2,11.7
DEMV,9.070478188652856,8.2,9.7
DENI,9.66684237159484,4.9,10.6
DENW,10.154352472696395,6.2,12.4
DERP,10.093559748427673,7.4,11.9
DESL,10.567615384615385,8.6,11.5
DEST,9.638795824229184,4.7,10.3
DESN,9.020107267950964,4.6,10.5
DESH,9.21201027194311,8.6,9.7
DETH,8.754380368098161,5.6,10.2
