State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,8.753704274702173,3.6,11.7
DEBY,8.152005119453925,-4.2,11.2
DEBE,9.610911136107983,9.2,9.9
DEBB,9.220806916426511,8.3,9.8
DEHB,9.502341137123745,9.3,9.6
DEHH,9.48515111695138,8.8,10.1
DEHE,8.948828254979322,5.6,11.3
DEMV,8.658003321968705,7.8,9.6
DENI,9.325006325377414,4.4,10.3
DENW,9.779708956753431,5.6,11.7
DERP,9.438309433962264,6.8,11.2
DESL,9.81723076923077,7.6,11.2
DEST,9.293430444282594,4.0,9.9
DESN,8.548746716287214,3.9,10.0
DESH,8.856331072627905,8.3,9.5
DETH,8.227546012269938,4.7,10.0
