State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,9.10809810791871,4.0,12.3
DEBY,8.46521188850967,-3.5,10.7
DEBE,10.53138357705287,10.0,11.3
DEBB,10.12126801152738,9.2,10.6
DEHB,10.207023411371235,10.0,10.3
DEHH,10.326544021024969,9.7,10.9
DEHE,9.397124114655131,6.0,11.5
DEMV,9.7584229390681,8.9,10.3
DENI,10.080878384076916,5.1,10.9
DENW,10.202711328433814,6.1,12.1
DERP,9.705222641509431,6.9,11.8
DESL,9.987307692307692,7.8,11.2
DEST,10.076028162175284,4.4,11.6
DESN,9.404881786339756,4.3,11.4
DESH,9.733087509053796,9.1,10.3
DETH,8.8410490797546,5.2,10.8
