State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,10.116560616678347,5.6,12.5
DEBY,9.609705631399317,-2.1,11.8
DEBE,11.141844769403823,10.4,11.5
DEBB,10.6560773012375,9.8,11.3
DEHB,10.994314381270902,10.9,11.1
DEHH,10.853088042049936,10.4,11.3
DEHE,10.314103722013597,7.2,12.5
DEMV,10.227694728560188,9.4,10.8
DENI,10.784329931685924,6.1,11.5
DENW,10.934459637513545,7.0,12.6
DERP,10.658706918238993,8.0,12.7
DESL,10.929076923076922,8.8,11.9
DEST,10.67941247875698,5.5,11.3
DESN,10.144165936952714,5.7,11.5
DESH,10.467406334364917,9.7,11.0
DETH,9.788527607361964,6.7,11.4
