State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,9.382096706377014,5.0,11.7
DEBY,8.84195534698521,-3.3,11.1
DEBE,10.284701912260967,9.7,10.7
DEBB,9.91199864383794,9.1,10.5
DEHB,10.090635451505015,9.9,10.1
DEHH,9.897109067017084,9.5,10.2
DEHE,9.577853306079763,6.3,11.9
DEMV,9.471120727336306,8.6,10.0
DENI,9.965956818756853,5.2,10.8
DENW,10.297683951629432,6.3,12.0
DERP,10.00719496855346,7.4,11.9
DESL,10.219076923076925,8.2,11.2
DEST,10.042286962855062,4.5,10.7
DESN,9.403732486865149,4.7,10.8
DESH,9.570185026667549,8.9,10.0
DETH,9.099687116564418,5.6,11.0
