State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,8.90506797477225,3.6,12.0
DEBY,8.428292093287826,-3.8,10.7
DEBE,9.86872890888639,9.4,10.2
DEBB,9.510177996270553,8.5,10.0
DEHB,9.590635451505015,9.4,9.6
DEHH,9.57555847568988,8.9,9.9
DEHE,8.9766126348814,5.4,11.1
DEMV,8.898474517003233,7.8,9.7
DENI,9.481260015180906,4.5,10.2
DENW,9.69791819166691,5.3,11.5
DERP,9.257272955974845,6.3,11.2
DESL,9.484115384615384,7.2,10.8
DEST,9.588448652585578,3.8,10.4
DESN,8.890367775831873,4.0,10.3
DESH,8.994403107921249,8.4,9.6
DETH,8.53498773006135,4.7,10.3
