State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,8.542298528381219,3.9,10.8
DEBY,8.112189988623435,-3.1,10.3
DEBE,9.615073115860516,9.0,9.9
DEBB,9.185302593659944,8.4,9.9
DEHB,9.253846153846151,9.1,9.3
DEHH,9.178580814717476,8.8,9.6
DEHE,8.677187811950374,5.3,10.9
DEMV,8.888661596293382,8.1,9.4
DENI,9.05821455680189,4.1,9.7
DENW,9.19493455918953,5.2,11.0
DERP,8.982007547169811,6.3,10.9
DESL,9.22223076923077,7.1,10.3
DEST,9.081558630735616,3.4,9.8
DESN,8.403880253940455,3.9,9.8
DESH,8.783769012971621,8.2,9.3
DETH,8.083337423312884,4.8,9.9
