State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,10.680367203924316,5.8,13.1
DEBY,10.076956769055744,-2.4,12.4
DEBE,11.2710911136108,10.9,11.6
DEBB,10.885448381081538,10.0,11.5
DEHB,11.052842809364549,10.8,11.1
DEHH,10.775032851511169,10.4,11.2
DEHE,10.688054380377428,7.4,12.8
DEMV,10.316631698575051,9.4,10.9
DENI,10.889257400691577,6.2,11.7
DENW,11.22015049922408,7.3,12.8
DERP,11.11565786163522,8.6,13.0
DESL,11.386807692307691,9.3,12.4
DEST,11.026938577324591,5.4,11.8
DESN,10.456923161120844,5.6,11.8
DESH,10.29390267992362,9.6,10.9
DETH,10.13357055214724,6.7,11.8
