State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,8.98274982480729,3.8,12.0
DEBY,8.335025597269624,-3.9,10.7
DEBE,9.616085489313836,9.1,10.5
DEBB,9.224200711985084,8.4,9.8
DEHB,9.460869565217392,9.3,9.6
DEHH,9.325229960578186,8.8,9.7
DEHE,9.113124494937493,5.6,11.4
DEMV,8.783053588600403,8.0,9.4
DENI,9.41793033651008,4.5,10.3
DENW,9.85533042485287,5.7,11.9
DERP,9.543818867924529,6.8,11.4
DESL,9.719423076923077,7.7,10.9
DEST,9.34734158776402,3.9,10.0
DESN,8.620851576182137,3.7,9.8
DESH,8.859359978929348,8.2,9.4
DETH,8.45179754601227,4.8,10.2
