State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,9.06528100911002,4.3,11.5
DEBY,8.549017349260525,-2.7,10.8
DEBE,9.79527559055118,9.1,10.2
DEBB,9.352578403119171,8.4,10.0
DEHB,9.600334448160533,9.4,9.7
DEHH,9.335611038107754,8.9,9.8
DEHE,9.079916337880878,5.9,11.4
DEMV,8.845943701372498,7.9,9.4
DENI,9.453734081133508,4.6,10.2
DENW,9.653154920504788,5.8,11.3
DERP,9.46040754716981,6.8,11.5
DESL,9.723115384615385,7.6,10.8
DEST,9.44341344986647,3.9,10.1
DESN,8.87494527145359,4.4,10.3
DESH,8.799683940212024,8.2,9.4
DETH,8.591932515337424,5.4,10.4
