State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,9.030887175893485,3.7,12.0
DEBY,8.478508248009101,-3.8,10.8
DEBE,10.51023622047244,9.9,10.9
DEBB,10.070008476012882,9.2,10.7
DEHB,10.390635451505018,10.2,10.4
DEHH,10.393429697766097,9.7,10.9
DEHE,9.450064172648192,5.9,11.6
DEMV,9.55505726025002,8.5,10.3
DENI,10.220414101374717,5.0,11.2
DENW,10.346593271454925,6.0,12.1
DERP,9.671094339622645,5.8,11.5
DESL,9.852230769230768,7.5,11.1
DEST,10.091769847050257,4.3,10.7
DESN,9.164043345008755,4.2,10.7
DESH,9.658451307038916,8.9,10.4
DETH,8.849134969325153,5.1,10.5
