State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,8.58262368605466,3.2,11.7
DEBY,7.977113196814562,-4.5,10.5
DEBE,9.851181102362206,9.1,10.8
DEBB,9.316521444312595,8.6,10.0
DEHB,9.720066889632108,9.6,9.9
DEHH,9.705519053876476,9.2,10.0
DEHE,9.14220658839188,5.7,11.6
DEMV,9.0528804965469,8.2,9.7
DENI,9.639759213966434,4.5,10.5
DENW,9.88466898954704,5.8,12.0
DERP,9.553388679245282,6.9,11.4
DESL,9.860653846153848,7.8,10.9
DEST,9.424170915270697,4.0,10.2
DESN,8.585814360770579,3.9,9.9
DESH,9.242602225587673,8.7,9.8
DETH,8.397196319018404,4.9,10.0
