State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,8.752608269096005,3.8,11.5
DEBY,8.204438282138794,-4.0,10.5
DEBE,9.77986501687289,9.2,10.5
DEBB,9.352310561112052,8.5,9.9
DEHB,9.684615384615386,9.6,9.9
DEHH,9.56084099868594,9.1,9.8
DEHE,8.945971383752438,5.4,11.0
DEMV,8.985169158143195,8.1,9.6
DENI,9.546563211604958,4.5,10.3
DENW,9.584944221591076,5.5,11.2
DERP,9.297911949685536,6.5,11.1
DESL,9.510461538461538,7.4,10.5
DEST,9.335625151735858,3.8,10.0
DESN,8.67209938704028,3.6,10.0
DESH,9.1579574636202,8.5,9.6
DETH,8.330447852760736,4.7,10.0
