State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,7.654200420462508,2.9,10.4
DEBY,6.972020762229807,-4.3,8.9
DEBE,7.930708661417323,7.2,8.7
DEBB,7.543756568909985,6.5,8.0
DEHB,7.873244147157189,7.7,8.0
DEHH,7.804336399474376,7.2,8.3
DEHE,7.429966249940581,4.1,9.8
DEMV,7.084465425299415,6.2,7.7
DENI,7.727637682381716,2.7,8.9
DENW,8.22802974848476,4.2,10.1
DERP,7.914847798742137,5.2,9.8
DESL,8.322423076923078,6.1,10.0
DEST,7.54177713037145,2.5,9.0
DESN,6.9888627408056045,2.5,8.7
DESH,7.314486073615591,6.7,7.9
DETH,6.637803680981595,3.5,8.4
