State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,8.869978976874561,3.8,11.7
DEBY,8.339717007963594,-4.0,10.5
DEBE,9.910911136107986,9.4,10.7
DEBB,9.500637396168845,8.6,10.0
DEHB,9.66588628762542,9.5,9.7
DEHH,9.64862023653088,9.1,10.1
DEHE,9.054503969197128,5.5,11.3
DEMV,8.994680479062854,8.0,9.5
DENI,9.505958505524164,4.3,10.3
DENW,9.75066612010658,5.4,11.7
DERP,9.3570213836478,6.6,11.3
DESL,9.610846153846154,7.5,11.3
DEST,9.566307356154406,3.7,10.9
DESN,8.767009632224168,3.7,10.7
DESH,9.083044709290842,8.4,9.6
DETH,8.46520245398773,4.8,10.5
