State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,10.36202382620883,5.8,12.8
DEBY,9.90633105802048,-2.4,12.2
DEBE,11.284251968503938,10.4,11.7
DEBB,10.83039159179522,9.8,11.5
DEHB,10.946822742474916,10.7,11.0
DEHH,10.676741130091983,10.3,11.0
DEHE,10.533227171174596,7.3,12.9
DEMV,10.201691581431945,9.3,10.9
DENI,10.72741629417222,6.0,11.6
DENW,11.011223025795683,7.2,12.7
DERP,10.840900628930818,8.2,12.8
DESL,11.111653846153846,9.1,12.1
DEST,10.881544064093228,5.4,11.6
DESN,10.304334500875656,5.7,11.6
DESH,10.176144070586686,9.4,10.9
DETH,9.918484662576686,6.7,11.5
