State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,9.857283812193414,5.3,12.1
DEBY,9.51577787258248,-2.6,11.7
DEBE,11.5289088863892,11.1,11.8
DEBB,11.056768943888798,10.1,11.7
DEHB,10.85484949832776,10.7,10.9
DEHH,10.642312746386336,10.2,11.0
DEHE,10.14314778723202,7.0,12.4
DEMV,10.446476964769648,9.5,10.9
DENI,10.668775828624442,6.0,11.5
DENW,10.734936901589904,7.0,12.4
DERP,10.451330817610062,8.0,12.4
DESL,10.723038461538462,8.8,11.7
DEST,10.932158290847292,5.3,11.7
DESN,10.367786777583188,5.6,11.7
DESH,10.183248831237242,9.5,10.9
DETH,9.793693251533742,6.5,11.5
