State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,7.400103714085493,2.6,10.3
DEBY,6.707299488054607,-4.4,9.3
DEBE,7.782452193475816,7.4,8.1
DEBB,7.367058823529411,6.5,7.9
DEHB,7.652508361204014,7.5,7.7
DEHH,7.618659658344284,7.0,7.9
DEHE,7.223567999239436,3.9,9.5
DEMV,6.934854445318647,6.2,7.7
DENI,7.469617103820528,2.6,8.3
DENW,7.940382982461276,3.9,10.0
DERP,7.795416352201259,5.1,9.6
DESL,8.291461538461538,5.9,9.8
DEST,7.287161932507891,2.5,7.8
DESN,6.631370402802101,2.6,8.0
DESH,7.1657338513202085,6.6,7.7
DETH,6.38096319018405,3.1,8.1
