State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,8.98081009110021,4.3,11.6
DEBY,8.4671885665529,-3.7,10.6
DEBE,9.9607424071991,9.3,10.7
DEBB,9.475338192914052,8.7,10.1
DEHB,9.944147157190637,9.7,10.0
DEHH,9.696846254927728,9.3,10.0
DEHE,9.155107667443076,5.9,11.5
DEMV,9.07567532126934,8.2,9.8
DENI,9.71553512692924,4.7,10.6
DENW,9.820056803209088,5.9,11.5
DERP,9.593972327044025,7.0,11.4
DESL,9.843307692307691,7.9,10.9
DEST,9.54796309783928,4.2,10.3
DESN,8.913326401050787,4.4,10.3
DESH,9.282550865872128,8.6,9.8
DETH,8.58201226993865,5.5,10.1
