State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,9.268675543097409,4.7,11.4
DEBY,8.886284129692832,-3.1,10.9
DEBE,10.442857142857145,9.8,10.9
DEBB,9.98287845397525,9.2,10.6
DEHB,10.090635451505015,9.9,10.1
DEHH,9.916819973718791,9.5,10.3
DEHE,9.452597803869374,6.3,11.6
DEMV,9.615477751551708,8.8,10.1
DENI,9.929859998313232,5.4,10.7
DENW,10.09373700699792,6.2,11.7
DERP,9.746772327044026,7.1,11.7
DESL,9.899807692307691,7.8,10.8
DEST,10.082529740228212,4.6,10.8
DESN,9.372433231173378,4.8,10.6
DESH,9.603279120300256,8.9,10.2
DETH,9.02883435582822,5.7,10.8
