State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,9.06082690960056,4.2,11.9
DEBY,8.748006257110355,-3.3,10.8
DEBE,10.61766029246344,9.9,11.5
DEBB,10.118993049669436,9.2,10.8
DEHB,10.10602006688963,10.0,10.2
DEHH,10.117739816031536,9.7,10.4
DEHE,9.363763844654656,6.1,11.6
DEMV,9.701809598741148,8.9,10.2
DENI,9.994661381462429,5.0,10.7
DENW,9.874901179984189,6.0,11.1
DERP,9.569127044025157,6.8,11.5
DESL,9.734076923076923,7.7,10.8
DEST,10.012896334061663,4.3,10.7
DESN,9.407300788091067,4.6,10.8
DESH,9.733179693158622,9.1,10.4
DETH,8.950306748466257,5.7,10.6
