State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,10.55034618079888,6.1,12.8
DEBY,10.28130403868032,-1.7,12.2
DEBE,11.915185601799775,11.6,12.3
DEBB,11.53052042719105,10.6,12.0
DEHB,11.39598662207358,11.2,11.5
DEHH,11.25203679369251,10.9,11.7
DEHE,10.754665589199982,7.6,12.6
DEMV,10.962129556779438,9.9,11.5
DENI,11.262591717972509,6.8,12.0
DENW,11.3096331215413,7.5,12.6
DERP,10.94216855345912,8.3,12.7
DESL,11.088923076923075,9.0,12.1
DEST,11.48396212672979,6.1,12.2
DESN,10.96272438704028,6.7,12.3
DESH,10.771567788239942,10.0,11.4
DETH,10.460791411042946,7.1,12.1
