State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,7.396201822004205,2.6,10.4
DEBY,6.728677474402729,-4.5,8.6
DEBE,8.403599550056244,8.0,9.4
DEBB,7.897443634514324,6.9,8.5
DEHB,7.865886287625416,7.7,7.9
DEHH,7.97293035479632,7.2,8.5
DEHE,7.290873223368351,4.0,9.6
DEMV,7.241520237783023,6.2,8.0
DENI,7.803160580247955,2.8,8.9
DENW,8.03344654935145,4.1,10.0
DERP,7.710379874213836,5.0,9.6
DESL,8.140615384615383,5.8,9.7
DEST,7.8834814275309535,2.3,9.3
DESN,7.326707530647987,2.6,9.1
DESH,7.359926252716139,6.7,8.0
DETH,6.757067484662577,3.4,8.7
