State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,7.903254379817801,3.0,10.3
DEBY,7.360915813424346,-4.7,9.6
DEBE,8.590776152980878,7.9,9.3
DEBB,8.090472961518902,7.3,8.7
DEHB,8.281270903010032,8.1,8.3
DEHH,8.10735873850197,7.7,8.4
DEHE,7.908304416028901,4.5,10.2
DEMV,7.681287699973774,7.0,8.2
DENI,8.112070928565403,3.3,8.9
DENW,8.439630486340878,4.6,10.3
DERP,8.362389937106919,5.7,10.2
DESL,8.695115384615386,6.7,9.8
DEST,7.987589220684633,2.8,8.6
DESN,7.456425131348512,3.0,9.0
DESH,7.665872127477448,7.1,8.2
DETH,7.190018404907976,4.1,8.8
