State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,9.44367764540995,4.7,12.1
DEBY,9.069577645051192,-3.1,11.1
DEBE,10.8037120359955,10.2,11.7
DEBB,10.341939311747756,9.5,10.9
DEHB,10.542140468227425,10.4,10.6
DEHH,10.37017082785808,10.0,10.7
DEHE,9.773204354233018,6.5,12.1
DEMV,9.948352128682576,9.0,10.5
DENI,10.41978788901071,5.4,11.5
DENW,10.485447837671654,6.5,12.5
DERP,10.136784905660376,7.4,12.0
DESL,10.323307692307694,8.4,11.3
DEST,10.34011653313911,4.7,11.1
DESN,9.686930823117336,5.0,11.1
DESH,10.030690722328307,9.3,10.5
DETH,9.273435582822088,6.0,11.0
