State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,9.025631394533988,4.1,11.9
DEBY,8.458225255972696,-2.9,10.6
DEBE,10.576940382452197,10.0,11.4
DEBB,10.153761654517716,9.3,10.6
DEHB,10.063879598662208,9.9,10.1
DEHH,10.184888304862024,9.6,10.8
DEHE,9.390126919237533,6.4,11.4
DEMV,9.70006556517178,9.0,10.1
DENI,9.988302268702032,5.5,10.9
DENW,10.265569642491144,6.5,12.4
DERP,9.670188679245284,7.1,11.6
DESL,9.926076923076923,7.8,11.6
DEST,10.13099781500364,5.1,11.6
DESN,9.50252298598949,5.1,11.4
DESH,9.60160005267663,9.0,10.2
DETH,8.940993865030675,5.9,10.8
