State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,9.865076384022425,5.4,12.0
DEBY,9.440228953356083,-1.9,11.5
DEBE,10.833970753655793,10.1,11.2
DEBB,10.342302085099169,9.3,11.0
DEHB,10.310702341137125,10.1,10.4
DEHH,10.130223390275953,9.7,10.6
DEHE,9.923805675714217,6.6,12.2
DEMV,9.75358422939068,8.9,10.3
DENI,10.145175845492115,5.4,11.0
DENW,10.333882821421252,6.5,11.9
DERP,10.238606289308176,7.5,12.5
DESL,10.500384615384617,8.4,11.5
DEST,10.322563729060452,4.7,11.0
DESN,9.940148861646234,5.4,11.4
DESH,9.701731744254957,9.0,10.3
DETH,9.493987730061349,6.2,11.2
