State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,10.224235459004907,5.8,12.7
DEBY,9.4961106370876,-2.1,12.0
DEBE,11.43498312710911,11.1,11.7
DEBB,10.94306831666384,10.0,11.6
DEHB,11.05484949832776,10.8,11.1
DEHH,10.841524310118263,10.4,11.3
DEHE,10.43225269762799,7.3,12.7
DEMV,10.426772445143808,9.7,11.0
DENI,10.865937842624607,6.2,11.7
DENW,11.116554914648786,7.3,12.9
DERP,10.960593710691825,8.4,12.8
DESL,11.264923076923075,9.3,12.2
DEST,10.983428016508862,5.4,11.7
DESN,10.28421081436077,5.7,11.6
DESH,10.460104036346875,9.8,11.0
DETH,9.855460122699386,6.4,11.5
