State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,9.203955150665733,4.8,12.0
DEBY,8.529075654152445,-3.1,11.0
DEBE,10.453543307086615,9.6,11.5
DEBB,9.968109849126972,9.2,10.6
DEHB,10.217391304347826,10.1,10.4
DEHH,10.142049934296978,9.6,10.4
DEHE,9.467447830013784,6.3,11.4
DEMV,9.657828481510622,8.8,10.4
DENI,10.124493969806863,5.2,10.9
DENW,10.292665358826456,6.3,11.5
DERP,9.885383647798742,7.0,11.8
DESL,10.18,8.2,11.3
DEST,9.953882010196647,4.9,10.7
DESN,9.25313047285464,4.9,10.5
DESH,9.842338842431024,9.1,10.4
DETH,8.864460122699388,5.6,10.4
