State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,8.797076384022427,4.0,11.8
DEBY,8.149507963594994,-3.3,10.7
DEBE,9.721709786276715,9.3,10.0
DEBB,9.24612307170707,8.3,9.9
DEHB,9.491304347826087,9.3,9.5
DEHH,9.489487516425756,8.8,10.0
DEHE,8.880976374958406,5.8,11.1
DEMV,8.77970102281668,8.0,9.6
DENI,9.357122374968371,4.4,10.1
DENW,9.655664216906276,5.7,11.6
DERP,9.258827672955976,6.7,11.0
DESL,9.687615384615386,7.3,11.0
DEST,9.26467103665938,4.0,9.8
DESN,8.45893169877408,4.0,9.9
DESH,8.961124646078886,8.4,9.5
DETH,8.24877300613497,4.9,9.8
