State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
DEBW,8.818999299229151,4.2,11.2
DEBY,8.327562571103526,-3.5,10.5
DEBE,10.152643419572552,9.8,10.5
DEBB,9.663261569757584,8.9,10.3
DEHB,9.868896321070237,9.7,9.9
DEHH,9.773587385019711,9.4,10.2
DEHE,8.992204211627131,5.8,11.1
DEMV,9.44526619459743,8.7,10.1
DENI,9.689506198869866,4.9,10.4
DENW,9.778104412496706,5.8,11.4
DERP,9.449398742138364,6.9,11.2
DESL,9.724538461538463,7.7,10.7
DEST,9.642966739499878,4.2,10.4
DESN,8.873620840630474,4.2,10.2
DESH,9.497675643642587,8.9,10.1
DETH,8.457987730061351,5.0,10.1
