State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,9.44367764540995,4.7,12.1
Bayern,9.069577645051192,-3.1,11.1
Berlin,10.8037120359955,10.2,11.7
Brandenburg,10.341939311747755,9.5,10.9
Bremen,10.542140468227425,10.4,10.6
Hamburg,10.37017082785808,10.0,10.7
Hessen,9.773204354233018,6.5,12.1
Mecklenburg-Vorpommern,9.948352128682577,9.0,10.5
Niedersachsen,10.41978788901071,5.4,11.5
Nordrhein-Westfalen,10.485447837671654,6.5,12.5
Rheinland-Pfalz,10.136784905660377,7.4,12.0
Saarland,10.323307692307694,8.4,11.3
Sachsen-Anhalt,10.34011653313911,4.7,11.1
Sachsen,9.686930823117336,5.0,11.1
Schleswig-Holstein,10.030690722328307,9.3,10.5
Thüringen,9.273435582822087,6.0,11.0
