State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,9.10809810791871,4.0,12.3
Bayern,8.46521188850967,-3.5,10.7
Berlin,10.53138357705287,10.0,11.3
Brandenburg,10.121268011527379,9.2,10.6
Bremen,10.207023411371237,10.0,10.3
Hamburg,10.326544021024967,9.7,10.9
Hessen,9.397124114655131,6.0,11.5
Mecklenburg-Vorpommern,9.758422939068101,8.9,10.3
Niedersachsen,10.080878384076916,5.1,10.9
Nordrhein-Westfalen,10.202711328433814,6.1,12.1
Rheinland-Pfalz,9.705222641509433,6.9,11.8
Saarland,9.987307692307692,7.8,11.2
Sachsen-Anhalt,10.076028162175284,4.4,11.6
Sachsen,9.404881786339756,4.3,11.4
Schleswig-Holstein,9.733087509053796,9.1,10.3
Thüringen,8.8410490797546,5.2,10.8
