State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,8.98081009110021,4.3,11.6
Bayern,8.4671885665529,-3.7,10.6
Berlin,9.9607424071991,9.3,10.7
Brandenburg,9.475338192914052,8.7,10.1
Bremen,9.944147157190637,9.7,10.0
Hamburg,9.696846254927728,9.3,10.0
Hessen,9.155107667443076,5.9,11.5
Mecklenburg-Vorpommern,9.07567532126934,8.2,9.8
Niedersachsen,9.715535126929241,4.7,10.6
Nordrhein-Westfalen,9.820056803209088,5.9,11.5
Rheinland-Pfalz,9.593972327044025,7.0,11.4
Saarland,9.843307692307691,7.9,10.9
Sachsen-Anhalt,9.54796309783928,4.2,10.3
Sachsen,8.913326401050787,4.4,10.3
Schleswig-Holstein,9.282550865872128,8.6,9.8
Thüringen,8.58201226993865,5.5,10.1
