State,Mean_Temperature (°C),Min_Temperature (°C),Max_Temperature (°C)
Baden-Württemberg,7.903254379817801,3.0,10.3
Bayern,7.360915813424346,-4.7,9.6
Berlin,8.590776152980878,7.9,9.3
Brandenburg,8.090472961518902,7.3,8.7
Bremen,8.281270903010032,8.1,8.3
Hamburg,8.10735873850197,7.7,8.4
Hessen,7.908304416028901,4.5,10.2
Mecklenburg-Vorpommern,7.681287699973774,7.0,8.2
Niedersachsen,8.112070928565403,3.3,8.9
Nordrhein-Westfalen,8.439630486340878,4.6,10.3
Rheinland-Pfalz,8.362389937106919,5.7,10.2
Saarland,8.695115384615386,6.7,9.8
Sachsen-Anhalt,7.987589220684633,2.8,8.6
Sachsen,7.456425131348512,3.0,9.0
Schleswig-Holstein,7.665872127477448,7.1,8.2
Thüringen,7.190018404907976,4.1,8.8
